조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학교,1001,1001,SC_VIOLENCE_01,0.0,,1.0,272.0
2021,학교,1002,1002,SC_VIOLENCE_01,0.0,,1.0,378.0
2021,학교,1003,1003,SC_VIOLENCE_01,0.0,,2.0,72.0
2021,학교,1004,1004,SC_VIOLENCE_01,1.0,,1.0,1002.0
2021,학교,1005,1005,SC_VIOLENCE_01,0.0,,1.0,652.0
2021,학교,1006,1006,SC_VIOLENCE_01,0.0,,1.0,753.0
2021,학교,1007,1007,SC_VIOLENCE_01,0.0,,1.0,399.0
2021,학교,1008,1008,SC_VIOLENCE_01,0.0,,2.0,343.0
2021,학교,1009,1009,SC_VIOLENCE_01,0.0,,1.0,359.0
2021,학교,1010,1010,SC_VIOLENCE_01,0.0,,1.0,690.0
2021,학교,1011,1011,SC_VIOLENCE_01,0.0,,1.0,253.0
2021,학교,1012,1012,SC_VIOLENCE_01,3.0,,2.0,651.0
2021,학교,1013,1013,SC_VIOLENCE_01,0.0,,1.0,451.0
2021,학교,1014,1014,SC_VIOLENCE_01,0.0,,2.0,344.0
2021,학교,1015,1015,SC_VIOLENCE_01,0.0,,1.0,763.0
2021,학교,1016,1016,SC_VIOLENCE_01,0.0,,1.0,543.0
2021,학교,1017,1017,SC_VIOLENCE_01,0.0,,2.0,73.0
2021,학교,1019,1019,SC_VIOLENCE_01,0.0,,1.0,587.0
2021,학교,1020,1020,SC_VIOLENCE_01,0.0,,1.0,195.0
2021,학교,1021,1021,SC_VIOLENCE_01,0.0,,1.0,1175.0
2021,학교,1022,1022,SC_VIOLENCE_01,0.0,,1.0,797.0
2021,학교,1023,1023,SC_VIOLENCE_01,2.0,,1.0,440.0
2021,학교,1024,1024,SC_VIOLENCE_01,1.0,,1.0,674.0
2021,학교,1025,1025,SC_VIOLENCE_01,4.0,,1.0,1122.0
2021,학교,1026,1026,SC_VIOLENCE_01,0.0,,2.0,796.0
2021,학교,1027,1027,SC_VIOLENCE_01,0.0,,1.0,958.0
2021,학교,1028,1028,SC_VIOLENCE_01,0.0,,1.0,653.0
2021,학교,1029,1029,SC_VIOLENCE_01,0.0,,1.0,523.0
2021,학교,1030,1030,SC_VIOLENCE_01,0.0,,2.0,71.0
2021,학교,1031,1031,SC_VIOLENCE_01,0.0,,1.0,932.0
2021,학교,1032,1032,SC_VIOLENCE_01,0.0,,2.0,490.0
2021,학교,1033,1033,SC_VIOLENCE_01,0.0,,1.0,184.0
2021,학교,1034,1034,SC_VIOLENCE_01,0.0,,1.0,450.0
2021,학교,1035,1035,SC_VIOLENCE_01,0.0,,1.0,912.0
2021,학교,1036,1036,SC_VIOLENCE_01,2.0,,1.0,964.0
2021,학교,1037,1037,SC_VIOLENCE_01,0.0,,2.0,60.0
2021,학교,1038,1038,SC_VIOLENCE_01,0.0,,1.0,632.0
2021,학교,1039,1039,SC_VIOLENCE_01,0.0,,1.0,478.0
